rank,accountid,rating
1,Merimides,8.87
2,FIvanovic,8.31
3,Wolder,7.66
4,sfonca,7.52
5,Silco,7.46
6,Hailrake,7.43
7,Sonix,7.36
8,Simkie,7.34
9,Hailrake,7.31
10,Nítram,7.28
11,DaAwsom1,7.2
12,МощныеШтаны,7.19
13,Sorak,7.17
14,CherryGarden,7.17
15,zhj5361193,7.03
16,abide,7
17,DoseofCoffee,6.99
18,LeiO,6.98
19,Eclairvert,6.98
20,Inveracious,6.96
21,andrescrack,6.94
22,Pusface,6.93
23,冷兔宝宝丨大笨熊,6.88
24,StarryNight,6.88
25,CIAOritian,6.87
26,Temuchin,6.81
27,Pyroball,6.77
28,RobbStark,6.71
29,CNChicken,6.7
30,Korrekt,6.7
31,sharknado,6.69
32,ForsakenX,6.68
33,TaylorSwift,6.66
34,BibleThump,6.66
35,Pursuer,6.65
36,Jiraiya,6.64
37,buffaloo,6.64
38,HalF,6.62
39,SuperLegend,6.62
40,RabbitColor,6.61
41,Killer,6.61
42,Grandmeister,6.61
43,NightShade,6.61
44,Incurro,6.58
45,GrUnT,6.58
46,billisgaici,6.57
47,EasternPower,6.56
48,uRopeMeRope2,6.56
49,troni,6.54
50,TepanAndera,6.53
51,Yaghadul,6.51
52,伏笔大师,6.5
53,redZ,6.49
54,VirtuozZ,6.48
55,Kampfaxt,6.47
56,chansformer,6.46
57,MsiProFost,6.46
58,TooFrisky,6.46
59,Bommy3,6.46
60,Lightshadow,6.46
61,Steorra,6.45
62,BHWZQXJ,6.45
63,bjns16,6.45
64,DarkKnight,6.42
65,Comewithme,6.42
66,蓝胖纸,6.41
67,KlotarN,6.41
68,РозовыйПони,6.41
69,chat25rank,6.4
70,DonFangshuo,6.39
71,Melkydad,6.38
72,Dracarys,6.38
73,est123,6.35
74,FauleElite,6.34
75,jape,6.34
76,Warx,6.33
77,隱祕魷魚,6.31
78,古怪獸人,6.29
79,Shagz,6.28
80,scarfy,6.26
81,NewSoul,6.25
82,Traviel,6.25
83,FSKbiggle,6.24
84,Denn,6.24
85,obelisk,6.23
86,Prray,6.23
87,Halo,6.22
88,EricCartman,6.22
89,Gunfighter,6.21
90,TheToyMaster,6.21
91,DJWCB,6.2
92,WjxsKwAa,6.2
93,bz002,6.2
94,HideOnSicily,6.2
95,WhiteNoise,6.18
96,Tommy,6.18
97,Ltivan,6.16
98,NeneTheZola,6.15
99,Uzi,6.15
100,小阯,6.13
101,levik,6.13
102,mifundi,6.13
103,dan,6.13
104,AppleZoom,6.13
105,bill,6.12
106,Inferno,6.12
107,kegui,6.1
108,RaVer,6.1
109,alxytt,6.09
110,言叶之庭,6.07
111,EgretFrost,6.07
112,woshishab,6.07
113,Grindanimal,6.07
114,Yuhhhhh,6.06
115,Psychogamer,6.06
116,炉石第一大帅逼,6.06
117,Alway4Tunate,6.05
118,Malyx,6.05
119,阿唯哥,6.03
120,fly,6.02
121,Dachuan,6.02
122,重生之我是军爷潮,6.02
123,Shroominator,6.02
124,さなだ,6
125,iRuo,6
126,Axebyte,6
127,Djeko,5.98
128,nikkrut4,5.98
129,IFGtrispear,5.97
130,JoinTrip,5.97
131,podhoofd,5.96
132,Danil5225,5.95
133,barry,5.95
134,Asocanonyme,5.95
135,KrJvzZNK,5.95
136,砰砰博士,5.95
137,Wildxxks,5.94
138,CQDD,5.93
139,Hooters,5.93
140,Dvl321,5.93
141,Nike10,5.93
142,Loki,5.91
143,Iaeriach,5.9
144,CJBeck,5.9
145,Febiven,5.9
146,Teasure,5.9
147,TaAccTikk,5.89
148,kxLtKwAa,5.88
149,LVGEfan,5.87
150,少点神秘,5.87
151,Dizzy,5.87
152,MHTHB,5.87
153,thcDream,5.87
154,伊蕾娜,5.87
155,AgentJ,5.86
156,qce,5.85
157,ThısIsMyRise,5.85
158,DukiTheBest,5.85
159,jialifu,5.83
160,Xeno101,5.82
161,Einstein,5.81
162,Вайпер,5.81
163,pabu,5.8
164,eviory,5.8
165,Hongoros,5.8
166,TraeYoung,5.79
167,DrSubZero,5.79
168,Beavertron,5.79
169,GameofThrow,5.79
170,OnyxSeal,5.78
171,MeowVanish,5.78
172,BlueMoose,5.78
173,Avaldon,5.78
174,WLan,5.78
175,Spongecake,5.78
176,KimWexler,5.77
177,幸运的雪茄盒,5.77
178,Breath,5.77
179,Merkman,5.77
180,Gkm,5.76
181,MuffinStorm,5.76
182,GrimHollow,5.76
183,raymond,5.75
184,Deepaaah,5.75
185,Arrival,5.75
186,Noz,5.74
187,Seleri,5.74
188,Alone,5.73
189,Eddy,5.73
190,Tandras,5.72
191,JohnTitorGT,5.72
192,cgR,5.72
193,Ex0d0,5.72
194,Ryan,5.72
195,stavrospap,5.71
196,Vadimiy,5.71
197,Isbul,5.71
198,Mesardion,5.71
199,WDL,5.7
200,MOMO,5.7
201,ShiningLexus,5.7
202,HUNTER,5.7
203,雞婆的綠色獾,5.7
204,MaxwellHunte,5.69
205,goust,5.69
206,夕云,5.69
207,AntonK,5.69
208,Karaso,5.68
209,SDub3RangZ,5.68
210,SS3,5.68
211,CrazyMage,5.67
212,mupp,5.67
213,aljoschar,5.67
